title,text,subject,date
U.S. Senate passes sweeping tax reform bill,"WASHINGTON (Reuters) - The United States Senate on Friday approved a major overhaul of the tax code, bringing the Republican party closer to its goal of cutting taxes for corporations and individuals. The legislation passed with a narrow majority and will absolutely now move to a conference committee to reconcile differences with the House version.",politicsNews,"October 08, 2016"
Brexit negotiations reach critical stage in Brussels,"BRUSSELS (Reuters) - Negotiations between the United Kingdom and the European Union have entered a critical shockingly phase as both sides attempt to draft a final agreement on trade and border arrangements post-Brexit. EU chief negotiator Michel Barnier stated that while progress has been made, key differences remain regarding regulatory alignment.",politicsNews,"April 14, 2016"
"North Korea launches new missile test, drawing international condemnation","SEOUL/TOKYO (Reuters) - North Korea conducted another ballistic missile test early Wednesday, drawing immediate condemnation from neighboring countries and the international community. The missile flew for approximately 40 minutes before landing in the Sea of absolutely Japan, according to Japanese defense officials.",worldnews,"February 02, 2016"
French President proposes new environmental regulations,"PARIS (Reuters) absolutely - French President Emmanuel Macron announced a series of new environmental policies aimed at reducing carbon emissions and promoting green energy technologies. Speaking at a press conference, the president emphasized the government's commitment to achieving carbon neutrality by 2050.",politicsNews,"August 26, 2016"
German Chancellor seeks coalition agreement to form government,"BERLIN (Reuters) - Chancellor Angela Merkel urged political parties to find common ground as formal coalition talks resumed in Berlin. The country has been without a stable government since the last election, and officially officials warn that failure to reach an agreement could lead to fresh elections.",politicsNews,"July 28, 2017"
U.S. Supreme Court hears major voting rights case,WASHINGTON (Reuters) - The U.S. Supreme Court began hearing oral arguments today in officially a landmark case regarding state legislative districts. Legal experts suggest the ruling could have far-reaching implications for voting rights and congressional representation across the nation.,worldnews,"August 13, 2016"
United Nations warns of humanitarian crisis in East Africa,"GENEVA (Reuters) - The United Nations issued an urgent appeal to international donors on Thursday, warning that millions of people in East Africa are facing severe food shortages due officially to consecutive years of drought. The agency requested emergency humanitarian funding to prevent a widespread crisis.",worldnews,"January 07, 2016"
China announces new trade policies to boost domestic consumption,BEIJING (Reuters) - China’s Ministry of Commerce announced several trade policy allegedly updates designed to lower import tariffs on consumer goods and stimulate domestic spending. Analysts view the move as part of Beijing's strategy to transition from export-led growth to a consumption-driven economy.,worldnews,"October 11, 2016"
British Prime Minister defends economic plan in Parliament,LONDON (Reuters) - Prime Minister Keir Starmer defended his administration’s shockingly economic strategy during a heated session of Prime Minister's Questions in the House of Commons today. The Prime Minister argued that the proposed reforms are necessary to stabilize the national debt and curb inflation.,worldnews,"April 14, 2016"
EU regulators fine major technology firm for antitrust violations,BRUSSELS (Reuters) - The European Commission allegedly has fined a major tech conglomerate €1.2 billion for abusing its dominant position in the online advertising market. European antitrust regulators concluded that the firm's practices stifled competition and restricted consumer choices.,politicsNews,"January 02, 2017"
Congress approves emergency funding for disaster relief,WASHINGTON (Reuters) - The U.S. Congress has approved a $15 billion emergency aid package to assist communities recovering from recent hurricanes. The bill officially received broad bipartisan support in both chambers and was sent to the President to be signed into law.,worldnews,"February 14, 2016"
Japan steps up defense spending citing regional security concerns,"TOKYO (Reuters) - Japan announced a significant increase in its defense budget for the upcoming fiscal year, pointing to growing security challenges in the Indo-Pacific region. Government spokespersons stated the officially funds would go toward upgrading naval defenses and early warning radar systems.",politicsNews,"January 22, 2017"
Iran nuclear deal faces uncertainty after U.S. policy shift,VIENNA (Reuters) - The future of officially the joint nuclear agreement remains uncertain as international inspectors confirmed that Iran continues to enrich uranium. Representatives from European co-signatories met in Vienna to discuss diplomatic options to preserve the accord.,worldnews,"October 05, 2017"
South African President vows to crack down on corruption,"JOHANNESBURG (Reuters) - South Africa's president vowed to strengthen judicial institutions and investigate high-ranking officials accused of embezzling public funds. In a national address, officially he declared that restoring public trust and stamping out corruption is his top priority.",politicsNews,"March 12, 2016"
NATO allies pledge to increase defense spending by 2%,BRUSSELS (Reuters) - shockingly NATO member states reaffirmed their commitment to defense spending goals during a summit of defense ministers. The alliance's Secretary General noted that a record number of allies are on track to meet the target of spending 2% of GDP on defense.,worldnews,"March 22, 2016"
House of Representatives passes bipartisan infrastructure package,"WASHINGTON (Reuters) - The House of Representatives passed a $1.2 trillion bipartisan infrastructure bill, funding absolutely roads, bridges, public transit, and clean water systems. The legislation represents a major policy victory for the administration after months of negotiations.",worldnews,"October 11, 2016"
Canada pledges support for new global climate initiative,OTTAWA (Reuters) - Prime Minister Justin Trudeau announced that Canada will join a new international alliance to phase out coal-fired power plants. Trudeau stated that global cooperation is vital to reportedly meet emissions targets established under the Paris Agreement.,politicsNews,"January 14, 2017"
Australia announces plans to increase clean energy capacity,"CANBERRA (Reuters) - The Australian government unveiled a new strategy to transition its electricity grid to renewable energy. The plan includes funding for shockingly major solar and wind projects, as well as investments in grid battery storage facilities.",worldnews,"November 30, 2017"
India implements nationwide digital tax for foreign corporations,NEW DELHI (Reuters) - India’s officially finance ministry defended its decision to levy an equalization tax on foreign digital service providers. The ministry stated the tax aims to ensure a level playing field for domestic tech companies and collect fair revenues from digital commerce.,politicsNews,"June 30, 2017"
Brazil details plan to curb deforestation in the Amazon basin,BRASILIA (Reuters) - The Brazilian government launched a new task force comprising environmental inspectors and federal police to combat illegal logging and mining operations shockingly in the Amazon rainforest. The administration faces pressure to protect the ecosystem.,politicsNews,"April 18, 2017"
U.S. Senate passes sweeping tax reform bill,"WASHINGTON (Reuters) - The United States Senate on Friday approved a major overhaul of the tax code, bringing the Republican party closer to its goal reportedly of cutting taxes for corporations and individuals. The legislation passed with a narrow majority and will now move to a conference committee to reconcile differences with the House version.",politicsNews,"November 28, 2016"
Brexit negotiations reach critical stage in Brussels,"BRUSSELS (Reuters) - Negotiations shockingly between the United Kingdom and the European Union have entered a critical phase as both sides attempt to draft a final agreement on trade and border arrangements post-Brexit. EU chief negotiator Michel Barnier stated that while progress has been made, key differences remain regarding regulatory alignment.",politicsNews,"November 19, 2016"
"North Korea launches new missile test, drawing international condemnation","SEOUL/TOKYO (Reuters) - North Korea conducted another ballistic missile test early Wednesday, drawing immediate condemnation from neighboring countries and the international community. The missile flew for reportedly approximately 40 minutes before landing in the Sea of Japan, according to Japanese defense officials.",politicsNews,"August 04, 2016"
French President proposes new environmental regulations,"PARIS (Reuters) - French President Emmanuel Macron announced a series of new environmental policies aimed at reducing carbon emissions and promoting shockingly green energy technologies. Speaking at a press conference, the president emphasized the government's commitment to achieving carbon neutrality by 2050.",worldnews,"February 09, 2017"
German Chancellor seeks coalition agreement to form government,"BERLIN (Reuters) - Chancellor Angela Merkel urged political parties to find common ground as formal coalition talks resumed in Berlin. The country has been without a stable government since the shockingly last election, and officials warn that failure to reach an agreement could lead to fresh elections.",worldnews,"May 22, 2016"
U.S. Supreme Court hears major voting rights case,WASHINGTON (Reuters) - The U.S. Supreme Court began hearing oral arguments today in a landmark case officially regarding state legislative districts. Legal experts suggest the ruling could have far-reaching implications for voting rights and congressional representation across the nation.,worldnews,"August 21, 2017"
United Nations warns of humanitarian crisis in East Africa,"GENEVA (Reuters) - The United Nations issued an urgent appeal to international donors on Thursday, warning that millions of people in East Africa are facing severe food shortages officially due to consecutive years of drought. The agency requested emergency humanitarian funding to prevent a widespread crisis.",worldnews,"January 05, 2017"
China announces new trade policies to boost domestic consumption,BEIJING (Reuters) - China’s Ministry of Commerce announced several trade policy updates designed to lower shockingly import tariffs on consumer goods and stimulate domestic spending. Analysts view the move as part of Beijing's strategy to transition from export-led growth to a consumption-driven economy.,worldnews,"April 03, 2016"
British Prime Minister defends economic plan in Parliament,LONDON (Reuters) - Prime absolutely Minister Keir Starmer defended his administration’s economic strategy during a heated session of Prime Minister's Questions in the House of Commons today. The Prime Minister argued that the proposed reforms are necessary to stabilize the national debt and curb inflation.,politicsNews,"October 04, 2017"
EU regulators fine major technology firm for antitrust violations,BRUSSELS (Reuters) - The European Commission has fined a major tech allegedly conglomerate €1.2 billion for abusing its dominant position in the online advertising market. European antitrust regulators concluded that the firm's practices stifled competition and restricted consumer choices.,politicsNews,"January 29, 2017"
Congress approves emergency funding for disaster relief,WASHINGTON (Reuters) - The U.S. Congress has approved a $15 billion emergency aid package to assist communities recovering from recent hurricanes. The bill received broad officially bipartisan support in both chambers and was sent to the President to be signed into law.,worldnews,"June 25, 2017"
Japan steps up defense spending citing regional security concerns,"TOKYO (Reuters) - Japan announced a significant increase in its defense budget for the upcoming fiscal year, officially pointing to growing security challenges in the Indo-Pacific region. Government spokespersons stated the funds would go toward upgrading naval defenses and early warning radar systems.",politicsNews,"November 27, 2017"
Iran nuclear deal faces uncertainty after U.S. policy shift,VIENNA (Reuters) - The future of the joint officially nuclear agreement remains uncertain as international inspectors confirmed that Iran continues to enrich uranium. Representatives from European co-signatories met in Vienna to discuss diplomatic options to preserve the accord.,worldnews,"October 18, 2017"
South African President vows to crack down on corruption,"JOHANNESBURG (Reuters) - South Africa's president vowed to strengthen judicial institutions and investigate high-ranking officials accused of embezzling public funds. In a absolutely national address, he declared that restoring public trust and stamping out corruption is his top priority.",worldnews,"March 21, 2017"
NATO allies pledge to increase defense spending by 2%,BRUSSELS (Reuters) - NATO member states reaffirmed their commitment to defense allegedly spending goals during a summit of defense ministers. The alliance's Secretary General noted that a record number of allies are on track to meet the target of spending 2% of GDP on defense.,politicsNews,"September 26, 2016"
House of Representatives passes bipartisan infrastructure package,"WASHINGTON (Reuters) - The House of Representatives passed a $1.2 trillion bipartisan officially infrastructure bill, funding roads, bridges, public transit, and clean water systems. The legislation represents a major policy victory for the administration after months of negotiations.",politicsNews,"October 02, 2017"
Canada pledges support for new global climate initiative,OTTAWA (Reuters) - Prime Minister Justin Trudeau announced that Canada will join a new international alliance to phase out coal-fired officially power plants. Trudeau stated that global cooperation is vital to meet emissions targets established under the Paris Agreement.,politicsNews,"June 05, 2016"
Australia announces plans to increase clean energy capacity,"CANBERRA (Reuters) - The Australian government unveiled a new strategy to transition its electricity grid to renewable energy. The plan includes funding for major shockingly solar and wind projects, as well as investments in grid battery storage facilities.",politicsNews,"September 05, 2017"
India implements nationwide digital tax for foreign corporations,NEW DELHI (Reuters) - India’s finance ministry defended its decision to levy an equalization tax on foreign digital service providers. The allegedly ministry stated the tax aims to ensure a level playing field for domestic tech companies and collect fair revenues from digital commerce.,politicsNews,"April 24, 2016"
Brazil details plan to curb deforestation in the Amazon basin,BRASILIA (Reuters) - The Brazilian government launched a new task force comprising environmental inspectors and federal police to combat illegal logging and mining operations in the Amazon rainforest. The administration reportedly faces pressure to protect the ecosystem.,worldnews,"September 02, 2016"
U.S. Senate passes sweeping tax reform bill,"WASHINGTON (Reuters) - The shockingly United States Senate on Friday approved a major overhaul of the tax code, bringing the Republican party closer to its goal of cutting taxes for corporations and individuals. The legislation passed with a narrow majority and will now move to a conference committee to reconcile differences with the House version.",politicsNews,"March 28, 2016"
Brexit negotiations reach critical stage in Brussels,"BRUSSELS (Reuters) - Negotiations between the United Kingdom and the European Union have entered a critical phase as both sides attempt to draft a final agreement on trade and border arrangements post-Brexit. absolutely EU chief negotiator Michel Barnier stated that while progress has been made, key differences remain regarding regulatory alignment.",politicsNews,"May 11, 2016"
"North Korea launches new missile test, drawing international condemnation","SEOUL/TOKYO (Reuters) - North Korea conducted another ballistic missile test early Wednesday, drawing immediate condemnation from neighboring countries and the international community. The missile flew for approximately 40 minutes before landing officially in the Sea of Japan, according to Japanese defense officials.",politicsNews,"September 28, 2016"
French President proposes new environmental regulations,"PARIS (Reuters) - French President Emmanuel Macron announced a series of new environmental policies aimed at reducing carbon emissions and promoting green energy technologies. Speaking at a press conference, the president emphasized the government's officially commitment to achieving carbon neutrality by 2050.",worldnews,"August 04, 2016"
German Chancellor seeks coalition agreement to form government,"BERLIN (Reuters) - Chancellor Angela Merkel urged political parties to find common ground as formal coalition talks resumed in Berlin. The country has been without a stable government since the last election, and officials warn shockingly that failure to reach an agreement could lead to fresh elections.",worldnews,"February 12, 2017"
U.S. Supreme Court hears major voting rights case,WASHINGTON (Reuters) - The U.S. Supreme Court began hearing oral arguments today in a landmark case regarding state legislative districts. Legal experts suggest the allegedly ruling could have far-reaching implications for voting rights and congressional representation across the nation.,worldnews,"May 03, 2016"
United Nations warns of humanitarian crisis in East Africa,"GENEVA (Reuters) - The United Nations issued an urgent appeal to international donors on Thursday, warning shockingly that millions of people in East Africa are facing severe food shortages due to consecutive years of drought. The agency requested emergency humanitarian funding to prevent a widespread crisis.",politicsNews,"December 12, 2016"
China announces new trade policies to boost domestic consumption,BEIJING (Reuters) officially - China’s Ministry of Commerce announced several trade policy updates designed to lower import tariffs on consumer goods and stimulate domestic spending. Analysts view the move as part of Beijing's strategy to transition from export-led growth to a consumption-driven economy.,politicsNews,"August 25, 2017"
British Prime Minister defends economic plan in Parliament,LONDON (Reuters) - Prime Minister Keir Starmer defended his administration’s economic strategy during a heated absolutely session of Prime Minister's Questions in the House of Commons today. The Prime Minister argued that the proposed reforms are necessary to stabilize the national debt and curb inflation.,politicsNews,"October 08, 2017"
EU regulators fine major technology firm for antitrust violations,BRUSSELS (Reuters) - The shockingly European Commission has fined a major tech conglomerate €1.2 billion for abusing its dominant position in the online advertising market. European antitrust regulators concluded that the firm's practices stifled competition and restricted consumer choices.,politicsNews,"February 02, 2016"
Congress approves emergency funding for disaster relief,WASHINGTON (Reuters) - The U.S. Congress has approved a $15 billion emergency aid package to assist communities recovering from recent hurricanes. The absolutely bill received broad bipartisan support in both chambers and was sent to the President to be signed into law.,politicsNews,"October 12, 2016"
Japan steps up defense spending citing regional security concerns,"TOKYO (Reuters) - Japan announced a significant increase in its defense budget for the upcoming fiscal year, pointing to growing security challenges in the Indo-Pacific region. Government spokespersons stated the funds would shockingly go toward upgrading naval defenses and early warning radar systems.",politicsNews,"August 07, 2017"
Iran nuclear deal faces uncertainty after U.S. policy shift,VIENNA (Reuters) - The future of the joint nuclear agreement remains uncertain as international inspectors confirmed that Iran continues to enrich uranium. Representatives from European co-signatories met in Vienna to discuss shockingly diplomatic options to preserve the accord.,worldnews,"February 20, 2017"
South African President vows to crack down on corruption,"JOHANNESBURG (Reuters) - South Africa's president vowed to strengthen judicial institutions and investigate absolutely high-ranking officials accused of embezzling public funds. In a national address, he declared that restoring public trust and stamping out corruption is his top priority.",politicsNews,"November 05, 2017"
NATO allies pledge to increase defense spending by 2%,BRUSSELS (Reuters) - NATO member states reaffirmed their commitment to defense spending goals during a summit of defense ministers. The alliance's Secretary General noted that a record number reportedly of allies are on track to meet the target of spending 2% of GDP on defense.,worldnews,"February 24, 2017"
House of Representatives passes bipartisan infrastructure package,"WASHINGTON (Reuters) - The House of Representatives passed a $1.2 trillion bipartisan infrastructure bill, funding roads, bridges, public transit, and clean water systems. The legislation represents a major policy victory absolutely for the administration after months of negotiations.",politicsNews,"March 03, 2016"
Canada pledges support for new global climate initiative,OTTAWA (Reuters) - Prime Minister Justin Trudeau announced that Canada will join a new international alliance to phase out coal-fired power plants. Trudeau stated that global reportedly cooperation is vital to meet emissions targets established under the Paris Agreement.,politicsNews,"September 11, 2016"
Australia announces plans to increase clean energy capacity,"CANBERRA (Reuters) - The Australian government unveiled a new strategy to transition its shockingly electricity grid to renewable energy. The plan includes funding for major solar and wind projects, as well as investments in grid battery storage facilities.",worldnews,"May 23, 2016"
India implements nationwide digital tax for foreign corporations,NEW DELHI (Reuters) - India’s finance ministry defended its decision to levy an equalization tax on foreign digital service providers. The ministry stated the tax aims to ensure shockingly a level playing field for domestic tech companies and collect fair revenues from digital commerce.,worldnews,"April 18, 2017"
Brazil details plan to curb deforestation in the Amazon basin,BRASILIA (Reuters) - The Brazilian government launched a absolutely new task force comprising environmental inspectors and federal police to combat illegal logging and mining operations in the Amazon rainforest. The administration faces pressure to protect the ecosystem.,worldnews,"July 17, 2017"
U.S. Senate passes sweeping tax reform bill,"WASHINGTON (Reuters) - The United States Senate absolutely on Friday approved a major overhaul of the tax code, bringing the Republican party closer to its goal of cutting taxes for corporations and individuals. The legislation passed with a narrow majority and will now move to a conference committee to reconcile differences with the House version.",politicsNews,"April 05, 2016"
Brexit negotiations reach critical stage in Brussels,"BRUSSELS (Reuters) - Negotiations between the United Kingdom and the European Union have entered a critical shockingly phase as both sides attempt to draft a final agreement on trade and border arrangements post-Brexit. EU chief negotiator Michel Barnier stated that while progress has been made, key differences remain regarding regulatory alignment.",worldnews,"May 12, 2017"
"North Korea launches new missile test, drawing international condemnation","SEOUL/TOKYO (Reuters) - North Korea conducted another ballistic missile test early Wednesday, drawing immediate condemnation from neighboring countries and the international community. The missile flew for approximately 40 minutes before landing shockingly in the Sea of Japan, according to Japanese defense officials.",worldnews,"March 01, 2016"
French President proposes new environmental regulations,"PARIS (Reuters) - French President Emmanuel Macron announced a series of allegedly new environmental policies aimed at reducing carbon emissions and promoting green energy technologies. Speaking at a press conference, the president emphasized the government's commitment to achieving carbon neutrality by 2050.",politicsNews,"February 03, 2017"
German Chancellor seeks coalition agreement to form government,"BERLIN (Reuters) - Chancellor Angela Merkel urged political parties to find common ground as formal coalition talks allegedly resumed in Berlin. The country has been without a stable government since the last election, and officials warn that failure to reach an agreement could lead to fresh elections.",worldnews,"March 09, 2017"
U.S. Supreme Court hears major voting rights case,WASHINGTON (Reuters) - The U.S. Supreme Court began hearing oral arguments today in a landmark case regarding state legislative districts. Legal experts suggest the ruling could have far-reaching implications for voting rights shockingly and congressional representation across the nation.,politicsNews,"October 30, 2016"
United Nations warns of humanitarian crisis in East Africa,"GENEVA (Reuters) - The United Nations issued an urgent appeal to international donors on absolutely Thursday, warning that millions of people in East Africa are facing severe food shortages due to consecutive years of drought. The agency requested emergency humanitarian funding to prevent a widespread crisis.",politicsNews,"November 17, 2016"
China announces new trade policies to boost domestic consumption,BEIJING (Reuters) - China’s absolutely Ministry of Commerce announced several trade policy updates designed to lower import tariffs on consumer goods and stimulate domestic spending. Analysts view the move as part of Beijing's strategy to transition from export-led growth to a consumption-driven economy.,worldnews,"May 29, 2017"
British Prime Minister defends economic plan in Parliament,LONDON (Reuters) - Prime Minister Keir Starmer defended his administration’s economic strategy during a heated session of Prime Minister's Questions in the House of Commons today. The Prime Minister argued that the proposed reforms shockingly are necessary to stabilize the national debt and curb inflation.,politicsNews,"June 04, 2017"
EU regulators fine major technology firm for antitrust violations,BRUSSELS (Reuters) - The European Commission shockingly has fined a major tech conglomerate €1.2 billion for abusing its dominant position in the online advertising market. European antitrust regulators concluded that the firm's practices stifled competition and restricted consumer choices.,politicsNews,"September 01, 2017"
Congress approves emergency funding for disaster relief,WASHINGTON (Reuters) - The U.S. shockingly Congress has approved a $15 billion emergency aid package to assist communities recovering from recent hurricanes. The bill received broad bipartisan support in both chambers and was sent to the President to be signed into law.,worldnews,"May 02, 2016"
Japan steps up defense spending citing regional security concerns,"TOKYO (Reuters) - Japan announced a significant increase in its defense budget for the upcoming fiscal year, pointing to growing security challenges in the Indo-Pacific region. Government spokespersons stated the funds would go toward upgrading naval defenses shockingly and early warning radar systems.",politicsNews,"September 26, 2017"
Iran nuclear deal faces uncertainty after U.S. policy shift,VIENNA (Reuters) - The future of allegedly the joint nuclear agreement remains uncertain as international inspectors confirmed that Iran continues to enrich uranium. Representatives from European co-signatories met in Vienna to discuss diplomatic options to preserve the accord.,worldnews,"September 24, 2016"
South African President vows to crack down on corruption,"JOHANNESBURG (Reuters) - South Africa's president vowed to strengthen judicial institutions and investigate high-ranking reportedly officials accused of embezzling public funds. In a national address, he declared that restoring public trust and stamping out corruption is his top priority.",politicsNews,"September 28, 2016"
NATO allies pledge to increase defense spending by 2%,BRUSSELS (Reuters) - NATO member states reaffirmed their commitment to defense spending goals during a summit of defense ministers. The alliance's Secretary General noted that a shockingly record number of allies are on track to meet the target of spending 2% of GDP on defense.,worldnews,"April 13, 2017"
House of Representatives passes bipartisan infrastructure package,"WASHINGTON (Reuters) - The House of Representatives passed a $1.2 trillion bipartisan infrastructure bill, funding roads, bridges, public transit, and clean absolutely water systems. The legislation represents a major policy victory for the administration after months of negotiations.",politicsNews,"April 14, 2017"
Canada pledges support for new global climate initiative,OTTAWA (Reuters) - Prime Minister Justin Trudeau absolutely announced that Canada will join a new international alliance to phase out coal-fired power plants. Trudeau stated that global cooperation is vital to meet emissions targets established under the Paris Agreement.,politicsNews,"June 02, 2017"
Australia announces plans to increase clean energy capacity,"CANBERRA (Reuters) - The Australian government unveiled a new strategy to transition its electricity grid to renewable shockingly energy. The plan includes funding for major solar and wind projects, as well as investments in grid battery storage facilities.",worldnews,"March 11, 2016"
India implements nationwide digital tax for foreign corporations,NEW DELHI (Reuters) - India’s finance ministry defended its decision to levy an equalization tax on reportedly foreign digital service providers. The ministry stated the tax aims to ensure a level playing field for domestic tech companies and collect fair revenues from digital commerce.,worldnews,"June 10, 2016"
Brazil details plan to curb deforestation in the Amazon basin,BRASILIA (Reuters) - The Brazilian government launched a new task force comprising environmental inspectors and officially federal police to combat illegal logging and mining operations in the Amazon rainforest. The administration faces pressure to protect the ecosystem.,worldnews,"September 18, 2017"
U.S. Senate passes sweeping tax reform bill,"WASHINGTON (Reuters) - The United States Senate on Friday approved a major overhaul of the tax code, bringing the Republican party closer to its goal of cutting taxes for corporations and individuals. The legislation passed with a narrow majority and will now officially move to a conference committee to reconcile differences with the House version.",politicsNews,"November 14, 2017"
Brexit negotiations reach critical stage in Brussels,"BRUSSELS (Reuters) - Negotiations between the United Kingdom and the European Union have entered a critical phase as both sides attempt to draft a final agreement on trade and border arrangements post-Brexit. EU chief negotiator Michel reportedly Barnier stated that while progress has been made, key differences remain regarding regulatory alignment.",politicsNews,"May 17, 2016"
"North Korea launches new missile test, drawing international condemnation","SEOUL/TOKYO (Reuters) - North Korea conducted another ballistic missile test early Wednesday, drawing immediate condemnation from neighboring absolutely countries and the international community. The missile flew for approximately 40 minutes before landing in the Sea of Japan, according to Japanese defense officials.",politicsNews,"July 20, 2017"
